,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
120,BMW i3,s 120 Ah Advantage,,18080,05/2019,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,28900
121,BMW i3,s 94ah,,14726,02/2018,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,28900
122,BMW i3,s (Range Extender) Elettrica/Benzina *Led*Navi*,,5000,10/2018,75 kW (102 CV),Usato,,Automatico,Elettrica/Benzina,SD Motors,00139,Roma - Rm,28900
123,BMW i3,120 Ah,,27580,05/2019,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20142,Milano - Mi,28900
124,BMW i3,s 120 Ah Advantage,,18080,05/2019,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,28900
125,BMW i3,,,5385,04/2019,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20142,Milano - Mi,28900
126,BMW i3,s 94ah,,14726,02/2018,135 kW (184 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,28900
127,BMW i3,(Range Extender),,16270,11/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,ACTIVA SPA,38121,Trento - Tn,28900
128,BMW i3,(Range Extender),,16270,11/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,BRIXINA - ACTIVA SPA,39042,Bressanone - Bolzano - Bz,28900
129,BMW i3,ADVANCED 170 CV RANGE EXTENDER GARANZIA,,25000,01/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,Just Limousine Srl,09122,Cagliari - Ca,28990
130,BMW i3,s 120 Ah Advantage,,21758,10/2019,135 kW (184 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20142,Milano - Mi,29000
131,BMW i3,s 120 Ah Advantage,,21758,10/2019,135 kW (184 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20097,San Donato Milanese - Milano - Mi,29000
132,BMW i3,94 Ah Comfort Advanced,,9200,09/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica,Car & Car Srl,20080,Zibido San Giacomo – Milano,29000
133,BMW i3,i3s 120 Ah performance- navigatore grande full,,19000,11/2019,135 kW (184 CV),Usato,,Automatico,Elettrica,Motors Monza Srl,20900,Monza Brianza - Mb,29400
134,BMW i3,94 Ah,,17334,08/2017,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOTORINO SPA,28100,Novara - No,29600
135,BMW i3,120 Ah Advantage,,23343,05/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,29800
136,BMW i3,120 Ah Advantage,,23343,05/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,29800
137,BMW i3,(I01) 120 Ah,,14860,07/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOVANTI MILANO,20151,Milano - Mi,29900
138,BMW i3,I01 BMW 120 Ah Advantage,,9320,05/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,Rent2Go Srl,20124,Milano,29900
139,BMW i3,94 Ah Rex Fluid Grey Edition,,12450,12/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,Commerciale Automobili Srl,59100,Prato - Po,29900
140,BMW i3,s 120 Ah Advantage,,11331,02/2019,135 kW (184 CV),Usato,1,Automatico,Elettrica,AUTOTORINO SPA,26013,Crema - Cr,30400
141,BMW i3,120 Ah Advantage,,11331,02/2019,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOSTAR,33100,Tavagnacco - Udine - Ud,30400
142,BMW i3,120Ah Advantage,,22237,01/2019,75 kW (102 CV),Usato,1,Automatico,Elettrica,Maldarizzi Automotive Spa,70100,Bari,30500
143,BMW i3,120 Ah Advantage,,22500,09/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,"Privato, ",27029,Vigevano,30500
144,BMW i3,120 Ah Advantage,,68000,04/2019,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTO IKARO - ACTIVA SPA,39100,Bolzano - Bz,30900
145,BMW i3,(I01) 120 Ah Advantage,,3603,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOVANTI BRIANZA,20832,Desio - Monza Brianza - Mb,30900
146,BMW i3,i3s 120 Ah Advantage,,20000,06/2019,135 kW (184 CV),Usato,,- (Tipo di cambio),Elettrica,"Privato, ",48124,RAVENNA,31000
147,BMW i3,i3s 120 Ah S,,15000,09/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,Antares Srl,43036,Parma - PR,31400
148,BMW i3,120 Ah,,2742,10/2020,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA,10024,Moncalieri - Torino - To,31900
149,BMW i3,120 Ah,,2742,10/2020,125 kW (170 CV),Usato,,Automatico,Elettrica,AUTOCROCETTA SPA - FILIALE BIELLA,13900,Biella - Bi,31900
150,BMW i3,94 ah range extended autonomy,,5300,11/2019,75 kW (102 CV),Aziendale,1,Automatico,Elettrica,Klasseuno Srl,16152,Genova - Ge,31900
151,BMW i3,120 Ah Advantage Nav Xenon Km Cert *Italiana*,,5360,06/2019,75 kW (102 CV),Usato,1,Automatico,Elettrica,Buanne Srl,81047,Macerata Campania - Ce,31999
152,BMW i3,120 Ah Advantage,,5438,11/2020,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTOTORINO SPA,43122,Parma - Pr,32500
153,BMW i3,94 Ah Range Extender ELETTRICO,,41039,05/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica,Pinauto Group spa,82010,Ceppaloni - Benevento,32800
154,BMW i3,120 Ah Advantage,,2600,09/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,Unikamotors srls,00047,Marino - Roma - Rm,32900
155,BMW i3,120Ah,,5729,10/2020,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,32900
156,BMW i3,120Ah Advantage,,8000,07/2020,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,32900
157,BMW i3,i3s 120 Ah Advantage,,21000,10/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,"Privato, ",00191,Roma,33500
158,BMW i3,"Bmw, i3 94Ah Range Extender",,9859,04/2018,125 kW (170 CV),Usato,,Manuale,Benzina,Primovei Auto Srl,41051,Castelnuovo Rangone - Modena - Mo,33608
159,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI BOLOGNA,40033,Casalecchio di Reno - Bologna - Bo,33800
160,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI MILANO,20151,Milano - Mi,33800
161,BMW i3,120 Ah,,,- (Anno),75 kW (102 CV),Nuovo,,Automatico,Elettrica,AUTOVANTI BRIANZA,20832,Desio - Monza Brianza - Mb,33800
